+----+-----+-----------+---+
|year|month|crime_total|  #|
+----+-----+-----------+---+
|2010|    1|      19515|  1|
|2010|    3|      18131|  2|
|2010|    7|      17856|  3|
|2011|    1|      18134|  1|
|2011|    7|      17283|  2|
|2011|   10|      17034|  3|
|2012|    1|      17943|  1|
|2012|    8|      17661|  2|
|2012|    5|      17502|  3|
|2013|    8|      17440|  1|
|2013|    1|      16820|  2|
|2013|    7|      16644|  3|
|2014|    7|      12196|  1|
|2014|   10|      12133|  2|
|2014|    8|      12028|  3|
|2015|   10|      19219|  1|
|2015|    8|      19011|  2|
|2015|    7|      18709|  3|
|2016|   10|      19659|  1|
|2016|    8|      19490|  2|
+----+-----+-----------+---+
only showing top 20 rows

Q1 Dataframe time: 0.537975549697876 seconds.
+----+-----+-----------+---+
|year|month|crime_total|  #|
+----+-----+-----------+---+
|2010|    1|      19515|  1|
|2010|    3|      18131|  2|
|2010|    7|      17856|  3|
|2011|    1|      18134|  1|
|2011|    7|      17283|  2|
|2011|   10|      17034|  3|
|2012|    1|      17943|  1|
|2012|    8|      17661|  2|
|2012|    5|      17502|  3|
|2013|    8|      17440|  1|
|2013|    1|      16820|  2|
|2013|    7|      16644|  3|
|2014|    7|      12196|  1|
|2014|   10|      12133|  2|
|2014|    8|      12028|  3|
|2015|   10|      19219|  1|
|2015|    8|      19011|  2|
|2015|    7|      18709|  3|
|2016|   10|      19659|  1|
|2016|    8|      19490|  2|
+----+-----+-----------+---+
only showing top 20 rows

Q1 SQL time: 0.861966609954834 seconds.
