Απόσταση από το αστυνομικό τμήμα που ανέλαβε την έρευνα για το περιστατικό:
(a)
+----+------------------+-----+
|year|  average_distance|    #|
+----+------------------+-----+
|2010| 4.315547525861609| 8213|
|2011|2.7931783031826134| 7232|
|2012|   37.401521647671| 6550|
|2013| 2.826412721201962| 5838|
|2014|11.631025289489838| 4230|
|2015| 2.706097992762391| 6763|
|2016|2.7176445421299724| 8100|
|2017| 5.955847913803835| 7788|
|2018| 2.732823649229879| 7413|
|2019| 2.739941972172148| 7129|
|2020| 8.614767812336167| 8491|
|2021| 30.97834129556093| 9767|
|2022|2.6086561864507893|10025|
|2023| 2.555141057454313| 8741|
+----+------------------+-----+

(b)
+---------------+------------------+-----+
|       division|  average_distance|    #|
+---------------+------------------+-----+
|    77TH STREET| 5.736614947109006|16546|
|      SOUTHEAST| 9.578741738383359|11782|
|         NEWTON| 9.865416685211947| 9613|
|      SOUTHWEST|  4.15636383556516| 8625|
|     HOLLENBECK|14.994438060689776| 6111|
|         HARBOR|13.360482218365267| 5431|
|        RAMPART| 4.098521839067684| 4989|
|        MISSION| 7.743899200430639| 4153|
|        OLYMPIC| 1.827684160849825| 3971|
|      NORTHEAST| 10.43910354785769| 3846|
|      HOLLYWOOD|12.080122049355651| 3551|
|       FOOTHILL|3.8148915583594225| 3484|
|        CENTRAL| 4.763802684561787| 3466|
|       WILSHIRE|13.350395954999458| 3422|
|NORTH HOLLYWOOD|14.087690925056263| 3321|
|    WEST VALLEY|17.084643689509413| 2786|
|        PACIFIC|13.244049319509951| 2647|
|       VAN NUYS|2.2172720177483716| 2645|
|     DEVONSHIRE|15.049134124450779| 2280|
|        TOPANGA| 3.488714475764334| 2101|
+---------------+------------------+-----+
only showing top 20 rows

Απόσταση από το πλησιέστερο αστυνομικό τμήμα:
(a)
+----+------------------+-----+
|year|  average_distance|    #|
+----+------------------+-----+
|2010|3.9654805060979808| 8213|
|2011|2.4618188856645915| 7232|
|2012| 37.04806556244542| 6550|
|2013| 2.456180337945913| 5838|
|2014|11.240705060052049| 4230|
|2015| 2.387902781763031| 6763|
|2016|2.4291509215379383| 8100|
|2017| 5.620278866952368| 7788|
|2018|2.4090835060969624| 7413|
|2019|2.4301661049761196| 7129|
|2020| 8.305664894299348| 8491|
|2021|30.666116941658995| 9767|
|2022| 2.312967928245974|10025|
|2023|2.2716948056968684| 8741|
+----+------------------+-----+

(b)
+---------------+------------------+-----+
|       division|  average_distance|    #|
+---------------+------------------+-----+
|    77TH STREET|1.7215717802940704|13314|
|      SOUTHWEST| 2.281362128260118|11195|
|      SOUTHEAST| 2.210009298415925|10836|
|         NEWTON|1.5697887030696482| 7150|
|       WILSHIRE| 2.443640741448432| 6227|
|     HOLLENBECK|103.76094896583089| 6215|
|      HOLLYWOOD|2.0025711504573533| 5328|
|         HARBOR| 3.905879971758679| 5305|
|        OLYMPIC|1.6650515588081933| 5071|
|        RAMPART|1.3976311372228347| 4677|
|       VAN NUYS|2.9536720802889667| 4587|
|       FOOTHILL| 3.612771771528315| 4214|
|        CENTRAL|1.0231066779455342| 3597|
|NORTH HOLLYWOOD| 2.721425990200832| 3270|
|      NORTHEAST|3.7517940872523634| 3093|
|    WEST VALLEY|2.7951039642375455| 2716|
|        MISSION|3.8087595625812636| 2625|
|        PACIFIC| 3.700480667929206| 2521|
|        TOPANGA|3.0254147394551283| 2146|
|     DEVONSHIRE|2.9876944488748034| 1180|
+---------------+------------------+-----+
only showing top 20 rows

